"MetabolismID","OmimID"
"PRO_HMDB0000828","176807 "
"PRO_HMDB0000830","604369 "
"PRO_HMDB0000845","126200 ,182125 ,168600 ,276880 ,266600 ,264070 "
"PRO_HMDB0000852","114500 ,210250 "
"PRO_HMDB0000855","601313 "
"PRO_HMDB0000884","114500 "
"PRO_HMDB0000937","210250 ,114500 "
"PRO_HMDB0001085","614037 ,270200 ,266130 "
"PRO_HMDB0001198","603165 ,614037 ,266130 "
"PRO_HMDB0001220","105400 "
"PRO_HMDB0001336","104300 ,114500 "
"PRO_HMDB0001403","105800 ,310200 "
"PRO_HMDB0001406","266600 ,114500 "
"PRO_HMDB0001452","114550 "
"PRO_HMDB0001509","270200 "
"PRO_HMDB0001976","243500 ,114500 "
"PRO_HMDB0002000","114500 "
"PRO_HMDB0002012","126200 "
"PRO_HMDB0002100","114500 "
"PRO_HMDB0002124","114500 "
"PRO_HMDB0002200","603165 ,614037 ,270200 "
"PRO_HMDB0002269","114500 "
"PRO_HMDB0002374","210250 "
"PRO_HMDB0002395","114500 "
"PRO_HMDB0002776","181500 "
"PRO_HMDB0002825","248310 ,114500 ,600807 ,601313 "
"PRO_HMDB0002869","210250 ,114500 "
"PRO_HMDB0002886","180300 "
"PRO_HMDB0002902","114500 "
"PRO_HMDB0002961","608516 ,613743 ,308100 "
"PRO_HMDB0003080","614037 "
"PRO_HMDB0003681","114500 "
"PRO_HMDB0004118","126200 "
"PRO_HMDB0004610","114500 "
"PRO_HMDB0004628","104300 ,126200 ,168600 "
"PRO_HMDB0004667","601313 ,114500 "
"PRO_HMDB0004814","212750 ,209850 ,125853 "
"PRO_HMDB0004866","200100 "
"PRO_HMDB0004877","200100 "
"PRO_HMDB0004879","235400 "
"PRO_HMDB0004880","200100 "
"PRO_HMDB0004881","235400 "
"PRO_HMDB0004882","200100 "
"PRO_HMDB0004884","200100 "
"PRO_HMDB0004886","200100 "
"PRO_HMDB0005047","109720 "
"PRO_HMDB0005794","125853 "
"PRO_HMDB0005800","114500 "
"PRO_HMDB0006059","270200 "
"PRO_HMDB0006101","114500 "
"PRO_HMDB0006270","211980 "
"PRO_HMDB0006478","212750 ,266600 "
"PRO_HMDB0010199","600807 "
"PRO_HMDB0011623","600807 ,212750 "
"PRO_HMDB0013780","212750 ,209850 ,266600 "
"PRO_HMDB0015532","126200 ,168600 ,145500 ,194470 ,104300 ,201100 "
"PRO_HMDB0028830","114500 "
"PRO_HMDB0030776","114500 "
"PRO_HMDB0031217","209850 ,266600 ,212750 "
"PRO_HMDB0033844","601665 ,222100 "
"PRO_HMDB0034168","600807 ,209850 ,212750 "
"PRO_HMDB0035093","212750 "
"THY_HMDB0000085","114500 ,164050 "
"THY_HMDB0000125","271900 ,181500 ,231950 ,126200 "
"THY_HMDB0000145","613546 ,308100 "
"THY_HMDB0000151","201810 ,613546 ,202110 ,308100 ,201710 ,600955 "
"THY_HMDB0000174","114500 ,610247 "
"THY_HMDB0000197","606788 ,209850 ,608516 ,114500 ,610247 ,276100 "
"THY_HMDB0000212","114500 "
"THY_HMDB0000239","617290 ,266600 ,114500 ,610247 "
"THY_HMDB0000244","606788 ,211530 ,114500 ,610247 "
"THY_HMDB0000265","606788 ,201810 ,600955 "
"THY_HMDB0000268","201710 "
"THY_HMDB0000381","210500 "
"THY_HMDB0000493","181500 "
"THY_HMDB0000510","245130 ,266600 ,114500 ,610247 ,181500 "
"THY_HMDB0000599","125853 ,126200 ,168600 "
"THY_HMDB0000606","600721 ,615182 ,271550 "
"THY_HMDB0000608","104300 ,126200 ,168600 "
"THY_HMDB0000626","219700 ,114500 ,109720 "
"THY_HMDB0000635","276700 ,276700 ,610247 "
"THY_HMDB0000663","610247 "
"THY_HMDB0000694","236792 ,615182 ,610247 ,600721 "
"THY_HMDB0000753","212750 ,209850 "
"THY_HMDB0000761","219700 ,210500 ,114500 ,109720 "
"THY_HMDB0000782","114500 "
"THY_HMDB0000788","258900 "
"THY_HMDB0000797","103050 ,608688 ,606812 "
"THY_HMDB0000807","104300 ,600274 "
"THY_HMDB0000828","176807 "
"THY_HMDB0000830","604369 "
"THY_HMDB0000845","126200 ,182125 ,168600 ,276880 ,266600 ,264070 "
"THY_HMDB0000852","114500 ,210250 "
"THY_HMDB0000855","601313 "
"THY_HMDB0000876","213700 "
"THY_HMDB0000884","114500 "
"THY_HMDB0000937","210250 ,114500 "
"THY_HMDB0001336","104300 ,114500 "
"THY_HMDB0001406","266600 ,114500 "
"THY_HMDB0001976","243500 ,114500 "
"THY_HMDB0002000","114500 "
"THY_HMDB0002012","126200 "
"THY_HMDB0002100","114500 "
"THY_HMDB0002124","114500 "
"THY_HMDB0002269","114500 "
"THY_HMDB0002374","210250 "
"THY_HMDB0002395","114500 "
"THY_HMDB0002825","248310 ,114500 ,600807 ,601313 "
"THY_HMDB0002869","210250 ,114500 "
"THY_HMDB0002886","180300 "
"THY_HMDB0002902","114500 "
"THY_HMDB0003080","614037 "
"THY_HMDB0004118","126200 "
"THY_HMDB0004610","114500 "
"THY_HMDB0004628","104300 ,126200 ,168600 "
"THY_HMDB0004667","601313 ,114500 "
"THY_HMDB0004814","212750 ,209850 ,125853 "
"THY_HMDB0004866","200100 "
"THY_HMDB0004877","200100 "
"THY_HMDB0004879","235400 "
"THY_HMDB0004880","200100 "
"THY_HMDB0004881","235400 "
"THY_HMDB0004882","200100 "
"THY_HMDB0004884","200100 "
"THY_HMDB0004886","200100 "
"THY_HMDB0005047","109720 "
"THY_HMDB0005794","125853 "
"THY_HMDB0005800","114500 "
"THY_HMDB0006101","114500 "
"THY_HMDB0006270","211980 "
"THY_HMDB0006478","212750 ,266600 "
"THY_HMDB0011623","600807 ,212750 "
"THY_HMDB0013780","212750 ,209850 ,266600 "
"THY_HMDB0028830","114500 "
"THY_HMDB0030776","114500 "
"THY_HMDB0031217","209850 ,266600 ,212750 "
"THY_HMDB0033844","601665 ,222100 "
"THY_HMDB0034168","600807 ,209850 ,212750 "
"THY_HMDB0035093","212750 "
"THY_HMDB0061112","114500 "
